,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g)
7376,BEEF,36.51,509,11.32,51.36,0.42,0.39,0.0,0.0
7377,BEEF,31.2,562,9.58,57.73,0.44,1.06,0.0,0.0
7378,BEEF,30.25,596,6.54,63.27,0.4,0.0,0.0,0.0
7379,BEEF,30.44,594,6.0,63.3,0.32,0.0,0.0,
7380,BEEF,25.17,639,5.54,68.07,0.25,0.97,0.0,0.0
7381,BEEF,28.13,627,5.16,67.33,0.22,0.0,0.0,0.0
7382,BEEF,71.21,151,20.53,7.63,1.06,0.01,0.0,0.0
7383,BEEF,72.95,131,21.79,4.87,1.01,0.0,0.0,0.0
7384,BEEF,65.2,206,19.71,14.09,1.02,0.0,0.0,0.0
7385,BEEF,66.42,199,19.9,13.17,0.91,0.11,0.0,0.0
7386,BEEF,74.1,122,21.9,3.87,1.11,0.0,0.0,0.0
7387,BEEF,70.09,160,21.47,8.2,0.96,0.0,0.0,0.0
7388,BEEF,73.31,130,21.4,4.93,1.06,0.0,0.0,0.0
7389,BEEF,73.05,129,22.41,4.43,1.09,0.0,0.0,0.0
7390,BEEF,61.91,237,18.87,17.73,0.93,0.57,0.0,0.0
7391,BEEF,63.07,223,20.15,15.69,0.89,0.2,0.0,0.0
7392,BEEF,53.09,331,16.92,29.15,0.71,0.13,0.0,0.0
7393,BEEF,61.92,234,20.35,16.93,0.91,0.0,0.0,0.0
7394,BEEF,52.58,330,17.61,28.61,0.73,0.46,0.0,0.0
7395,BEEF,73.65,127,21.77,4.45,1.1,0.01,0.0,0.0
7396,BEEF,64.6,217,19.8,15.21,0.88,0.11,0.0,0.0
7397,BEEF,72.33,140,21.13,6.16,1.04,0.01,0.0,0.0
7398,BEEF,72.52,129,22.24,4.4,1.09,0.0,0.0,0.0
7399,BEEF,57.21,289,17.67,24.2,0.8,0.17,0.0,0.0
7400,BEEF,47.68,392,14.58,36.98,0.61,0.22,0.0,0.0
7401,BEEF,54.63,317,17.07,27.64,0.78,0.0,0.0,0.0
7402,BEEF,46.27,405,14.54,38.3,0.61,0.42,0.0,0.0
7403,BEEF,60.9,248,18.5,19.11,0.91,0.58,0.0,0.0
7404,BEEF,72.64,124,23.49,3.34,1.12,0.0,0.0,0.0
7405,BEEF,72.35,127,23.49,3.66,1.12,0.0,0.0,0.0
7406,BEEF,73.08,120,23.49,2.85,1.12,0.0,0.0,0.0
7407,BEEF,72.51,125,23.45,3.5,1.11,0.0,0.0,0.0
7408,BEEF,72.24,128,23.46,3.81,1.12,0.0,0.0,0.0
7409,BEEF,72.93,121,23.44,3.04,1.11,0.0,0.0,0.0
7410,BEEF,73.09,124,23.27,3.44,1.09,0.0,0.0,0.0
7411,BEEF,72.88,127,23.26,3.74,1.1,0.0,0.0,0.0
7412,BEEF,73.4,120,23.28,3.0,1.08,0.0,0.0,0.0
7413,BEEF,73.07,124,23.26,3.48,1.09,0.0,0.0,0.0
7414,BEEF,72.81,127,23.24,3.83,1.1,0.0,0.0,0.0
7415,BEEF,73.46,120,23.3,2.95,1.08,0.0,0.0,0.0
7416,BEEF,71.5,149,21.67,6.93,1.09,0.0,0.0,0.0
7417,BEEF,71.05,153,21.5,7.4,1.1,0.0,0.0,0.0
7418,BEEF,72.17,144,21.91,6.21,1.09,0.0,0.0,0.0
7419,BEEF,68.75,163,22.43,8.17,1.0,0.0,0.0,0.0
7420,BEEF,67.82,171,22.19,9.16,0.98,0.0,0.0,0.0
7421,BEEF,70.15,151,22.79,6.67,1.02,0.0,0.0,0.0
7422,BEEF,71.7,147,21.72,6.67,1.1,0.0,0.0,0.0
7423,BEEF,71.3,150,21.57,7.1,1.1,0.0,0.0,0.0
7424,BEEF,72.31,142,21.95,6.02,1.09,0.0,0.0,0.0
7425,BEEF,64.35,183,27.31,8.14,1.24,0.0,0.0,0.0
7426,BEEF,63.7,188,27.26,8.82,1.24,0.0,0.0,0.0
7427,BEEF,65.33,174,27.38,7.12,1.24,0.0,0.0,0.0
7428,BEEF,64.56,160,29.9,4.49,1.24,0.0,0.0,0.0
7429,BEEF,63.99,163,30.08,4.79,1.21,0.0,0.0,0.0
7430,BEEF,65.14,157,30.97,3.72,1.27,0.0,0.0,0.0
7431,BEEF,65.06,159,29.66,4.47,1.22,0.0,0.0,0.0
7432,BEEF,64.5,163,29.79,4.83,1.21,0.0,0.0,0.0
7433,BEEF,65.92,154,29.47,3.98,1.22,0.0,0.0,0.0
7434,BEEF,72.96,121,23.59,2.94,1.12,0.0,0.0,0.0
7435,BEEF,72.66,124,23.59,3.26,1.12,0.0,0.0,0.0
7436,BEEF,73.4,116,23.59,2.45,1.12,0.0,0.0,0.0
7437,BEEF,72.96,121,23.59,2.94,1.12,0.0,0.0,0.0
7438,BEEF,72.66,124,23.59,3.26,1.12,0.0,0.0,0.0
7439,BEEF,73.4,116,23.59,2.45,1.12,0.0,0.0,0.0
7440,BEEF,73.43,121,23.37,3.04,1.1,0.0,0.0,0.0
7441,BEEF,73.18,124,23.35,3.38,1.1,0.0,0.0,0.0
7442,BEEF,73.81,116,23.41,2.52,1.09,0.0,0.0,0.0
7443,BEEF,73.43,121,23.37,3.04,1.1,0.0,0.0,0.0
7444,BEEF,73.18,124,23.35,3.38,1.1,0.0,0.0,0.0
7445,BEEF,73.81,116,23.41,2.52,1.09,0.0,0.0,0.0
7446,BEEF,72.44,139,21.94,5.74,1.11,0.0,0.0,0.0
7447,BEEF,72.04,143,21.78,6.16,1.11,0.0,0.0,0.0
7448,BEEF,73.04,135,22.16,5.1,1.1,0.0,0.0,0.0
7449,BEEF,70.63,143,23.07,5.67,1.02,0.0,0.0,0.0
7450,BEEF,69.94,149,22.93,6.34,1.01,0.0,0.0,0.0
7451,BEEF,71.68,135,23.3,4.66,1.04,0.0,0.0,0.0
7452,BEEF,72.44,139,21.94,5.74,1.11,0.0,0.0,0.0
7453,BEEF,72.04,143,21.78,6.16,1.11,0.0,0.0,0.0
7454,BEEF,73.04,135,22.16,5.1,1.1,0.0,0.0,0.0
7455,BEEF,64.79,177,27.51,7.49,1.25,0.0,0.0,0.0
7456,BEEF,64.17,183,27.48,8.13,1.25,0.0,0.0,0.0
7457,BEEF,65.71,169,27.55,6.54,1.24,0.0,0.0,0.0
7458,BEEF,64.96,162,30.09,3.77,1.29,0.0,0.0,0.0
7459,BEEF,64.37,158,30.24,4.11,1.22,0.06,0.0,0.0
7460,BEEF,65.87,150,29.81,3.37,1.26,0.0,0.0,0.0
7461,BEEF,65.35,155,29.85,3.9,1.27,0.0,0.0,0.0
7462,BEEF,64.83,158,29.94,4.26,1.21,0.0,0.0,0.0
7463,BEEF,66.2,149,29.52,3.43,1.19,0.0,0.0,0.0
7464,BEEF,71.68,135,23.3,4.66,1.04,0.0,0.0,0.0
7465,BEEF,69.94,149,22.93,6.34,1.01,0.0,0.0,0.0
7467,BEEF,66.35,191,21.54,11.65,0.97,0.0,0.0,0.0
7468,BEEF,65.33,199,21.29,12.68,0.95,0.0,0.0,0.0
7469,BEEF,54.87,275,25.69,19.19,1.04,0.0,0.0,0.0
7470,BEEF,57.68,247,26.92,15.44,1.08,0.0,0.0,0.0
7471,BEEF,55.99,264,26.18,17.69,1.06,0.0,0.0,0.0
7472,BEEF,60.58,208,28.66,10.34,1.13,0.0,0.0,0.0
7473,BEEF,62.99,184,29.67,7.26,1.17,0.0,0.0,0.0
7474,BEEF,61.54,198,29.06,9.11,1.15,0.0,0.0,0.0
7475,BEEF,64.65,205,21.13,13.36,0.94,0.0,0.0,0.0
7476,BEEF,60.46,193,33.53,6.57,1.15,0.0,0.0,0.0
7477,BEEF,73.11,129,22.09,4.49,0.98,0.0,0.0,0.0
7478,BEEF,54.88,265,29.35,16.37,0.93,0.0,0.0,0.0
7479,BEEF,67.95,194,19.74,12.75,0.84,0.0,0.0,0.0
7480,BEEF,58.64,202,34.51,7.05,0.83,0.0,0.0,0.0
7481,BEEF,73.75,125,20.92,4.62,0.96,0.0,0.0,0.0
7482,BEEF,73.5,131,20.46,5.41,0.95,0.0,0.0,0.0
7483,BEEF,59.68,208,32.08,8.89,0.78,0.0,0.0,0.0
7484,BEEF,56.8,239,30.09,13.22,1.07,0.0,0.0,0.0
7485,BEEF,69.43,161,19.77,8.51,0.91,1.38,0.0,0.0
7486,BEEF,65.38,164,29.68,4.98,1.15,0.0,0.0,0.0
7487,BEEF,74.14,116,20.15,3.35,1.02,1.35,0.0,0.0
7488,BEEF,61.51,194,30.75,7.92,0.67,0.0,0.0,0.0
7489,BEEF,73.62,142,20.53,6.67,0.96,0.0,0.0,0.0
7490,BEEF,56.39,226,33.22,10.3,1.06,0.0,0.0,0.0
7491,BEEF,70.81,154,21.3,7.69,0.92,0.0,0.0,0.0
7492,BEEF,62.27,179,31.29,6.0,1.04,0.0,0.0,0.0
7493,BEEF,78.07,105,18.52,3.4,1.02,0.0,0.0,0.0
7494,BEEF,64.4,167,31.23,4.64,1.62,0.0,0.0,0.0
7495,BEEF,74.57,114,21.46,3.12,0.99,0.0,0.0,0.0
7496,BEEF,72.35,128,22.16,4.36,1.03,0.1,0.0,0.0
7497,BEEF,31.16,560,7.9,57.22,0.33,3.39,0.0,0.0
7498,BEEF,29.04,602,6.97,63.78,0.2,0.01,0.0,0.0
7499,BEEF,66.44,157,27.28,5.27,1.55,0.0,0.0,0.0
7500,BEEF,64.7,178,27.51,7.58,1.25,0.0,0.0,0.0
7501,BEEF,80.52,87,15.68,2.64,1.15,0.0,0.0,0.0
7502,BEEF,66.44,150,23.3,4.68,1.8,3.78,0.0,0.0
7503,BEEF,70.39,133,20.5,4.05,1.46,3.6,0.0,0.0
7504,BEEF,73.1,126,24.21,3.26,0.63,0.0,0.0,0.0
7505,BEEF,73.84,119,21.23,3.68,1.02,0.23,0.0,0.0
7506,BEEF,62.38,196,29.87,8.46,0.63,0.0,0.0,0.0
7507,BEEF,71.68,155,21.83,7.56,0.9,0.0,0.0,0.0
7508,BEEF,61.82,197,27.23,9.74,1.12,0.09,0.0,0.0
7509,BEEF,71.32,146,21.31,6.78,0.94,0.0,0.0,0.0
7510,BEEF,61.77,188,30.17,7.48,1.38,0.0,0.0,0.0
7511,BEEF,59.61,217,28.53,11.4,1.09,0.0,0.0,0.0
7512,BEEF,70.41,150,20.93,7.0,0.91,0.74,0.0,0.0
7513,BEEF,15.41,731,6.5,78.3,0.28,0.0,0.0,0.0
7514,BEEF,19.91,685,8.5,72.38,0.1,0.0,0.0,0.0
7515,BEEF,56.26,318,12.53,29.79,1.91,0.0,0.0,0.0
7516,BEEF,57.67,303,11.51,28.6,2.36,0.0,0.0,0.0
7517,BEEF,59.69,200,29.37,9.01,1.66,0.27,0.0,0.0
7518,BEEF,69.48,178,21.27,10.31,0.87,0.0,0.0,0.0
7519,BEEF,71.79,140,21.19,6.1,1.05,0.0,0.0,0.0
7520,BEEF,56.95,271,18.31,20.34,0.72,3.68,0.0,0.0
7521,BEEF,65.24,243,17.77,19.09,0.8,0.0,0.0,0.0
7522,BEEF,77.71,103,19.0,2.98,0.89,0.0,0.0,0.0
7523,BEEF,82.19,77,14.86,1.98,1.1,0.0,0.0,0.0
7524,BEEF,57.82,228,31.3,11.37,1.07,0.0,0.0,0.0
7525,BEEF,70.23,159,21.29,8.22,0.93,0.0,0.0,0.0
7526,BEEF,38.97,453,20.14,41.33,0.66,0.0,0.0,0.0
7527,BEEF,53.33,345,15.81,31.27,0.61,0.0,0.0,0.0
7528,BEEF,54.66,250,31.94,13.6,0.78,0.0,0.0,0.0
7529,BEEF,70.11,163,20.05,9.23,0.9,0.0,0.0,0.0
7530,BEEF,55.95,252,29.92,14.74,0.74,0.0,0.0,0.0
7531,BEEF,68.67,181,19.38,11.45,0.87,0.0,0.0,0.0
7532,BEEF,52.86,286,27.79,19.45,1.0,0.03,0.0,0.0
7533,BEEF,63.38,225,18.22,16.31,0.83,1.31,0.0,0.0
7534,BEEF,64.99,168,29.49,5.57,1.14,0.0,0.0,0.0
7535,BEEF,72.9,129,19.88,4.92,1.0,1.32,0.0,0.0
7536,BEEF,60.32,208,30.13,9.73,0.66,0.0,0.0,0.0
7537,BEEF,71.79,161,20.12,8.9,0.93,0.0,0.0,0.0
7538,BEEF,54.29,252,31.86,13.79,1.02,0.0,0.0,0.0
7539,BEEF,68.68,177,20.57,10.55,0.89,0.0,0.0,0.0
7540,BEEF,61.87,196,29.82,8.5,1.54,0.07,0.0,0.0
7541,BEEF,71.41,147,20.61,7.2,0.94,0.0,0.0,0.0
7542,BEEF,62.23,197,29.79,8.68,0.63,0.0,0.0,0.0
7543,BEEF,61.45,192,30.01,7.96,1.37,0.0,0.0,0.0
7544,BEEF,72.22,141,21.74,6.05,0.97,0.0,0.0,0.0
7545,BEEF,71.87,145,21.65,6.5,0.97,0.0,0.0,0.0
7546,BEEF,52.4,301,24.89,22.33,0.95,0.02,0.0,0.0
7547,BEEF,60.78,252,18.49,19.53,0.76,0.6,0.0,0.0
7548,BEEF,59.47,202,29.26,9.35,1.66,0.27,0.0,0.0
7549,BEEF,71.18,146,21.04,6.88,1.04,0.0,0.0,0.0
7550,BEEF,71.72,152,20.85,7.0,1.02,0.0,0.0,0.0
7551,BEEF,63.81,193,26.22,8.94,1.05,0.0,0.0,0.0
7552,BEEF,65.29,182,25.56,8.01,1.08,0.06,0.0,0.0
7553,BEEF,63.26,192,27.03,8.43,0.94,0.0,0.0,0.0
7554,BEEF,60.82,209,28.88,9.51,1.32,0.0,0.0,0.0
7555,BEEF,74.75,121,21.98,3.0,1.07,0.0,0.0,0.0
7556,BEEF,67.96,153,26.36,4.46,1.06,0.0,0.0,0.0
7557,BEEF,68.68,144,26.03,3.65,1.09,0.0,0.0,0.0
7558,BEEF,66.43,154,27.58,4.06,0.95,0.0,0.0,0.0
7559,BEEF,64.55,175,29.46,5.46,1.36,0.0,0.0,0.0
7560,BEEF,69.03,169,20.95,9.3,1.0,0.05,0.0,0.0
7561,BEEF,71.78,140,22.15,5.38,1.06,0.0,0.0,0.0
7562,BEEF,62.48,194,28.95,8.15,1.1,0.0,0.0,0.0
7563,BEEF,71.58,139,22.15,5.54,1.05,0.08,0.0,0.0
7564,BEEF,71.22,147,22.01,6.05,1.04,0.0,0.0,0.0
7565,BEEF,61.51,203,28.73,9.16,1.08,0.0,0.0,0.0
7566,BEEF,68.0,176,21.34,10.08,1.01,0.06,0.0,0.0
7567,BEEF,70.24,151,21.55,7.24,1.01,0.0,0.0,0.0
7568,BEEF,72.3,133,22.03,4.99,1.05,0.05,0.0,0.0
7569,BEEF,70.16,157,21.2,8.0,1.02,0.04,0.0,0.0
7570,BEEF,60.0,167,27.51,6.37,1.07,0.0,0.0,0.0
7571,BEEF,72.47,130,22.37,4.55,1.07,0.0,0.0,0.0
7578,BEEF,66.27,159,25.9,5.42,1.36,0.0,0.0,0.0
7579,BEEF,62.72,203,26.13,10.16,1.1,0.0,0.0,0.0
7580,BEEF,73.41,129,19.63,5.02,1.17,0.0,0.0,0.0
7581,BEEF,64.32,172,26.82,6.34,1.2,0.0,0.0,0.0
7582,BEEF,64.92,173,26.36,6.75,1.17,0.0,0.0,0.0
7583,BEEF,64.62,175,28.6,5.82,1.23,0.0,0.0,0.0
7584,BEEF,60.02,189,29.34,7.04,1.17,0.0,0.0,0.0
7585,BEEF,65.57,161,25.73,5.72,1.5,0.0,0.0,0.0
7586,BEEF,67.09,159,26.08,5.24,1.15,0.0,0.0,0.0
7587,BEEF,60.69,227,25.77,12.93,1.02,0.0,0.0,0.0
7588,BEEF,62.86,200,25.67,9.99,1.19,0.0,0.0,0.0
7589,BEEF,60.38,216,24.61,12.26,1.07,0.0,0.0,0.0
7590,BEEF,62.13,196,27.3,8.76,1.26,0.0,0.0,0.0
7591,BEEF,63.61,186,28.22,7.25,1.21,0.0,0.0,0.0
7592,BEEF,64.65,177,28.41,6.14,1.24,0.0,0.0,0.0
7593,BEEF,60.34,220,26.13,12.05,1.07,0.0,0.0,0.0
7594,BEEF,57.16,255,23.51,17.13,0.93,0.0,0.0,0.0
7595,BEEF,50.5,265,29.97,15.18,1.45,0.0,0.0,0.0
7596,BEEF,66.19,160,25.87,5.52,1.36,0.0,0.0,0.0
7597,BEEF,61.57,216,25.73,11.73,1.09,0.0,0.0,0.0
7598,BEEF,61.09,207,25.7,10.84,1.15,0.0,0.0,0.0
7599,BEEF,64.02,182,28.29,6.8,1.22,0.0,0.0,0.0
7600,BEEF,73.24,137,21.41,5.0,1.05,0.0,0.0,0.0
7601,BEEF,65.78,174,26.29,6.8,1.06,0.0,0.0,0.0
7602,BEEF,66.9,164,25.8,5.94,1.09,0.0,0.0,0.0
7603,BEEF,62.58,193,29.17,7.58,1.34,0.0,0.0,0.0
7604,BEEF,64.76,174,27.31,6.37,0.94,0.0,0.0,0.0
7605,BEEF,69.45,176,20.0,10.0,0.98,0.0,0.0,0.0
7606,BEEF,61.24,217,26.11,11.75,1.04,0.0,0.0,0.0
7607,BEEF,63.21,204,25.21,10.68,1.08,0.0,0.0,0.0
7608,BEEF,58.58,230,28.45,12.04,1.28,0.0,0.0,0.0
7609,BEEF,61.33,214,26.62,11.1,0.93,0.0,0.0,0.0
7610,BEEF,65.66,215,18.59,15.0,0.91,0.0,0.0,0.0
7611,BEEF,57.98,250,25.93,15.41,1.02,0.0,0.0,0.0
7612,BEEF,60.61,232,24.62,14.02,1.07,0.0,0.0,0.0
7613,BEEF,55.9,256,27.73,15.3,1.22,0.0,0.0,0.0
7614,BEEF,58.98,240,25.93,14.36,0.92,0.0,0.0,0.0
7615,BEEF,61.87,254,17.17,20.0,0.84,0.0,0.0,0.0
7616,BEEF,55.99,270,25.75,17.78,1.0,0.0,0.0,0.0
7617,BEEF,59.11,246,24.04,15.94,1.06,0.0,0.0,0.0
7618,BEEF,54.54,272,27.0,17.36,1.16,0.0,0.0,0.0
7619,BEEF,57.7,254,25.25,16.17,0.9,0.0,0.0,0.0
7620,BEEF,58.09,293,15.76,25.0,0.77,0.0,0.0,0.0
7621,BEEF,55.28,279,25.56,18.87,0.98,0.0,0.0,0.0
7622,BEEF,58.69,248,23.45,16.44,1.05,0.0,0.0,0.0
7623,BEEF,54.5,277,26.28,18.21,1.1,0.0,0.0,0.0
7624,BEEF,57.5,254,24.56,16.5,0.89,0.0,0.0,0.0
7625,BEEF,72.9,134,22.53,4.2,1.06,0.0,0.0,0.0
7626,BEEF,71.11,148,22.06,5.93,1.05,0.0,0.0,0.0
7627,BEEF,73.31,127,22.27,3.54,1.19,0.0,0.0,0.0
7628,BEEF,72.68,133,23.07,3.88,0.99,0.0,0.0,0.0
7629,BEEF,62.45,188,30.87,6.22,1.19,0.0,0.0,0.0
7630,BEEF,62.67,194,29.07,7.76,1.2,0.0,0.0,0.0
7631,BEEF,65.47,170,29.34,4.96,1.2,0.0,0.0,0.0
7632,BEEF,64.65,177,29.44,5.73,1.14,0.0,0.0,0.0
7633,BEEF,66.61,164,28.45,4.67,1.15,0.0,0.0,0.0
7634,BEEF,66.31,163,29.59,4.11,1.18,0.0,0.0,0.0
7635,BEEF,62.79,177,31.61,4.65,1.17,0.0,0.0,0.0
7636,BEEF,58.64,205,34.46,6.43,1.05,0.0,0.0,0.0
7637,BEEF,72.58,128,22.19,4.31,1.09,0.0,0.0,0.0
7638,BEEF,60.61,196,33.15,6.0,1.06,0.0,0.0,0.0
7639,BEEF,73.76,127,21.57,3.84,1.01,0.0,0.0,0.0
7640,BEEF,73.43,124,22.6,3.0,1.08,0.0,0.0,0.0
7641,BEEF,65.52,169,29.73,4.71,1.15,0.0,0.0,0.0
7642,BEEF,69.95,141,22.33,5.04,0.99,0.0,0.0,0.0
7643,BEEF,62.93,200,29.04,8.39,1.13,0.0,0.0,0.0
7644,BEEF,70.62,153,22.12,6.52,1.06,0.0,0.0,0.0
7645,BEEF,57.84,214,34.66,7.36,1.02,0.0,0.0,0.0
7646,BEEF,73.32,132,22.11,4.19,1.01,0.0,0.0,0.0
7647,BEEF,65.93,163,28.0,5.72,1.11,0.0,0.0,0.0
7648,BEEF,57.54,216,34.34,7.73,1.02,0.0,0.0,0.0
7649,BEEF,63.32,189,29.3,7.09,1.14,0.0,0.0,0.0
7650,BEEF,71.49,138,22.93,5.15,1.02,0.0,0.0,0.0
7651,BEEF,61.96,185,31.82,5.45,1.2,0.0,0.0,0.0
7652,BEEF,75.02,135,22.91,4.09,1.13,0.0,0.0,0.0
7653,BEEF,64.29,178,29.42,5.84,1.2,0.0,0.0,0.0
7654,BEEF,72.91,131,22.09,4.08,1.14,0.0,0.0,0.0
7655,BEEF,72.51,139,21.96,5.05,1.02,0.0,0.0,0.0
7656,BEEF,73.27,129,21.69,4.06,1.01,0.0,0.0,0.0
7657,BEEF,56.39,224,34.72,8.37,1.03,0.0,0.0,0.0
7658,BEEF,59.82,203,33.13,6.79,1.07,0.0,0.0,0.0
7659,BEEF,72.89,128,22.88,3.38,1.1,0.0,0.0,0.0
7660,BEEF,71.44,140,22.69,4.78,1.16,0.0,0.0,0.0
7661,BEEF,71.99,140,22.22,4.96,1.06,0.0,0.0,0.0
7662,BEEF,65.26,179,27.56,6.77,1.07,0.0,0.0,0.0
7663,BEEF,64.73,175,29.87,5.3,1.11,0.0,0.0,0.0
7664,BEEF,61.13,193,32.04,6.25,1.23,0.0,0.0,0.0
7665,BEEF,56.44,228,34.22,9.02,0.98,0.0,0.0,0.0
7666,BEEF,71.28,148,22.12,5.91,1.08,0.0,0.0,0.0
7667,BEEF,70.17,158,22.17,7.07,1.08,0.0,0.0,0.0
7668,BEEF,72.51,135,21.91,4.62,1.09,0.0,0.0,0.0
7669,BEEF,62.22,202,28.29,9.05,1.1,0.0,0.0,0.0
7670,BEEF,70.3,155,22.78,6.43,1.04,0.0,0.0,0.0
7671,BEEF,61.68,206,29.01,9.1,1.1,0.0,0.0,0.0
7672,BEEF,63.27,187,29.51,6.72,1.2,0.0,0.0,0.0
7673,BEEF,61.99,201,29.16,8.45,1.13,0.0,0.0,0.0
7674,BEEF,74.12,125,22.26,3.32,1.0,0.0,0.0,0.0
7675,BEEF,74.26,124,21.45,3.61,1.0,0.0,0.0,0.0
7676,BEEF,59.29,205,34.6,6.35,1.02,0.0,0.0,0.0
7677,BEEF,61.39,189,33.18,5.21,1.05,0.0,0.0,0.0
7678,BEEF,73.97,119,22.31,2.62,1.05,0.0,0.0,0.0
7679,BEEF,72.63,129,23.13,3.37,1.13,0.0,0.0,0.0
7680,BEEF,73.17,128,22.18,3.66,1.08,0.0,0.0,0.0
7681,BEEF,64.27,195,29.58,7.63,1.15,0.0,0.0,0.0
7682,BEEF,81.65,94,11.71,4.05,0.6,1.99,0.0,0.0
7683,BEEF,72.41,142,21.26,5.63,1.06,0.0,0.0,0.0
7684,BEEF,63.79,193,26.34,9.73,1.06,0.0,0.0,0.0
7685,BEEF,71.33,154,21.17,7.06,1.02,0.0,0.0,0.0
7686,BEEF,65.55,179,27.17,6.95,1.09,0.0,0.0,0.0
7687,BEEF,73.48,129,21.34,4.21,1.1,0.0,0.0,0.0
7688,BEEF,74.48,126,21.07,3.95,1.03,0.0,0.0,0.0
7689,BEEF,73.98,130,20.76,4.55,1.02,0.0,0.0,0.0
7690,BEEF,74.99,122,21.38,3.35,1.04,0.0,0.0,0.0
7691,BEEF,64.79,186,27.89,7.4,1.1,0.0,0.0,0.0
7692,BEEF,65.51,178,27.96,6.48,1.13,0.0,0.0,0.0
7693,BEEF,72.08,141,21.57,5.47,1.02,0.0,0.0,0.0
7694,BEEF,72.84,137,21.43,5.0,0.99,0.0,0.0,0.0
7695,BEEF,58.8,278,18.12,22.15,0.82,0.12,0.0,0.0
7696,BEEF,59.34,276,17.77,22.21,0.8,0.0,0.0,0.0
7697,BEEF,51.58,298,28.66,19.47,0.95,0.0,0.0,0.0
8607,CEREALS,2.8,400,7.1,3.33,2.27,84.7,4.3,36.13
8608,CEREALS,3.0,371,11.43,2.86,1.21,81.5,11.4,5.71
8609,CEREALS,2.9,409,7.7,7.3,2.32,79.6,5.5,20.0
8613,CEREALS,5.2,403,9.0,10.5,2.14,73.0,9.7,15.4
8614,CEREALS,8.5,378,7.9,7.1,2.14,74.3,9.3,24.1
8630,CEREALS,5.6,390,9.8,8.8,4.9,70.9,11.2,17.5
8683,CEREALS,7.4,352,11.2,3.3,2.4,75.7,9.1,20.0
8684,CEREALS,1.9,388,9.5,6.3,8.5,73.8,8.5,23.2
8685,CEREALS,8.5,385,7.1,5.6,2.6,76.2,9.7,23.6
8723,BEEF,54.8,310,11.7,28.4,3.1,2.0,0.0,0.0
8728,CEREALS,3.14,339,10.93,2.06,3.22,80.65,14.7,0.75
8746,CEREALS,3.4,380,10.0,3.0,5.53,78.0,8.0,22.0
8764,CEREALS,5.0,401,7.12,5.46,1.22,81.19,4.2,19.79
